@RELATION SWA_classification

@ATTRIBUTE s_str STRING
@ATTRIBUTE t_str STRING
@ATTRIBUTE st_samestr {0,1}
@ATTRIBUTE s_stem STRING
@ATTRIBUTE t_stem STRING
@ATTRIBUTE st_samestem {0,1}
@ATTRIBUTE s_pos STRING
@ATTRIBUTE t_pos STRING
@ATTRIBUTE st_precede {0,1}
@ATTRIBUTE st_follow {0,1}
@ATTRIBUTE class {preserved,bigrammar-vtense,bigrammar-wform,bigrammar-inter,paraphrase,unaligned,mogrammar-prep,mogrammar-det,bigrammar-prep,bigrammar-det,bigrammar-others,typo,spelling,duplicate,moproblematic,biproblematic,unspec}

@DATA
previous,previous,1,previous,previous,1,JJ,JJ,1,1,preserved
shot,shot,1,shoot,shoot,1,NN,NN,1,1,preserved
boundary,boundary,1,boundary,boundary,1,NN,NN,1,1,preserved
detectors,detectors,1,detector,detector,1,NNS,NNS,1,1,preserved
usually,usually,1,usually,usually,1,RB,RB,1,0,preserved
divided,divide,0,divide,divide,1,VBN,NN,1,1,bigrammar-vtense
the,the,1,the,the,1,DET,DET,0,1,preserved
system,system,1,system,system,1,NN,NN,1,1,preserved
into,into,1,into,into,1,IN,IN,1,1,preserved
sub-systems,sub-systems,1,sub-systems,sub-systems,1,JJ,JJ,1,1,preserved
in,in,1,in,in,1,IN,IN,1,1,preserved
which,which,1,which,which,1,WDT,WDT,1,1,preserved
special,special,1,special,special,1,JJ,JJ,1,1,preserved
treatments,treatments,1,treatment,treatment,1,NNS,NNS,1,0,preserved
'were proposed','are proposed',0,'be propose','be propose',1,'VBD PPR','VBP PPR',1,1,bigrammar-vtense
to,to,1,to,to,1,TO,TO,1,1,preserved
handle,handle,1,handle,handle,1,VB,VB,1,1,preserved
different,different,1,different,different,1,JJ,JJ,1,1,preserved
types,types,1,type,type,1,NNS,NNS,1,1,preserved
of,of,1,of,of,1,IN,IN,1,1,preserved
shot,shot,1,shoot,shoot,1,NN,NN,1,1,preserved
transitions,transitions,1,transition,transition,1,NNS,NNS,1,1,preserved
.,.,1,.,.,1,PP,PP,1,1,preserved
Therefore,Therefore,1,Therefore,Therefore,1,RB,RB,1,1,preserved
',',',',1,',',',',1,PPR,PPR,1,1,preserved
'it is difficult','is difficult',0,'it be difficult','be difficult',0,'PRP VBZ PPR','VBZ PPR',0,0,paraphrase
'to generalize',generalization,0,'to generalize',generalization,0,'TO PPR',NN,0,0,bigrammar-wform
for,for,1,for,for,1,IN,IN,0,1,preserved
new,new,1,new,new,1,JJ,JJ,1,1,preserved
test,test,1,test,test,1,NN,NN,1,1,preserved
sets,sets,1,set,set,1,NNS,NNS,1,1,preserved
.,.,1,.,.,1,PP,PP,1,1,preserved
?,'is it',0,?,'be it',0,?,'VBZ POS',0,0,moproblematic
using,'that uses',0,use,'that use',0,VBG,'IN POS',1,1,paraphrase
we,We,0,we,We,0,PRP,PRP,0,1,preserved
have,have,1,have,have,1,VB,VB,0,1,preserved
proposed,proposed,1,propose,propose,1,JJ,JJ,1,1,preserved
a,a,1,a,a,1,DET,DET,1,1,preserved
unified,unified,1,unify,unify,1,JJ,JJ,1,1,preserved
and,and,1,and,and,1,CC,CC,1,1,preserved
general,general,1,general,general,1,JJ,JJ,1,1,preserved
framework,framework,1,framework,framework,1,NN,NN,1,1,preserved
for,for,1,for,for,1,IN,IN,1,1,preserved
shot,shot,1,shoot,shoot,1,NN,NN,1,1,preserved
boundary,boundary,1,boundary,boundary,1,NN,NN,1,1,preserved
detection,detection,1,detection,detection,1,NN,NN,1,0,preserved
a,a,1,a,a,1,DET,DET,0,1,preserved
text,text,1,text,text,1,NN,NN,1,1,preserved
segmentation,segmentation,1,segmentation,segmentation,1,NN,NN,1,1,preserved
based,based,1,base,base,1,VBN,VBN,1,1,preserved
approach,approach,1,approach,approach,1,NN,NN,1,1,preserved
Firstly,Firstly,1,Firstly,Firstly,1,NNP,NNP,1,1,preserved
',',',',1,',',',',1,PPR,PPR,1,1,preserved
we,we,1,we,we,1,PRP,PRP,1,1,preserved
label,label,1,label,label,1,NN,NN,1,0,preserved
frames,frames,1,frame,frame,1,NNS,NNS,0,0,preserved
by,with,0,by,with,0,IN,IN,1,1,bigrammar-prep
one,one,1,one,one,1,CD,CD,0,1,preserved
of,of,1,of,of,1,IN,IN,1,0,preserved
six,six,1,six,six,1,CD,CD,0,1,preserved
labels,labels,1,label,label,1,NNS,NNS,1,1,preserved
defined,defined,1,define,define,1,VBN,VBN,1,1,preserved
for,for,1,for,for,1,IN,IN,1,1,preserved
different,different,1,different,different,1,JJ,JJ,1,1,preserved
types,types,1,type,type,1,NNS,NNS,1,1,preserved
of,of,1,of,of,1,IN,IN,1,1,preserved
frames,frames,1,frame,frame,1,NNS,NNS,1,1,preserved
:,:,1,:,:,1,PPS,PPS,1,1,preserved
NORM,NORM,1,NORM,NORM,1,NNP,NNP,1,1,preserved
-FRM,-FRM,1,-FRM,-FRM,1,NNP,NNP,1,1,preserved
',',',',1,',',',',1,PPR,PPR,1,1,preserved
PRE,PRE,1,PRE,PRE,1,NNP,NNP,1,1,preserved
-CUT,-CUT,1,-CUT,-CUT,1,NNP,NNP,1,1,preserved
',',',',1,',',',',1,PPR,PPR,1,1,preserved
POST,POST,1,POST,POST,1,NNP,NNP,1,1,preserved
-CUT,-CUT,1,-CUT,-CUT,1,NNP,NNP,1,1,preserved
',',',',1,',',',',1,PPR,PPR,1,1,preserved
PRE,PRE,1,PRE,PRE,1,NNP,NNP,1,1,preserved
-GRAD,-GRAD,1,-GRAD,-GRAD,1,NNP,NNP,1,1,preserved
',',',',1,',',',',1,PPR,PPR,1,1,preserved
IN,IN,1,IN,IN,1,IN,IN,1,1,preserved
-GRAD,-GRAD,1,-GRAD,-GRAD,1,NNP,NNP,1,0,preserved
and,and,1,and,and,1,CC,CC,0,1,preserved
POST,POST,1,POST,POST,1,NNP,NNP,1,1,preserved
-GRAD,-GRAD,1,-GRAD,-GRAD,1,NNP,NNP,1,1,preserved
.,.,1,.,.,1,PP,PP,1,1,preserved
?,the,0,?,the,0,?,DET,0,0,mogrammar-det
?,the,0,?,the,0,?,DET,0,0,mogrammar-det
Then,Then,1,Then,Then,1,RB,RB,1,1,preserved
we,we,1,we,we,1,PRP,PRP,1,1,preserved
extract,extract,1,extract,extract,1,NN,NN,1,0,preserved
shot,shot,1,shoot,shoot,1,NN,NN,0,1,preserved
boundaries,boundaries,1,boundary,boundary,1,NNS,NNS,1,1,preserved
and,and,1,and,and,1,CC,CC,1,1,preserved
types,types,1,type,type,1,NNS,NNS,1,1,preserved
from,from,1,from,from,1,IN,IN,1,1,preserved
these,these,1,these,these,1,DET,DET,1,1,preserved
labeled,labeled,1,label,label,1,VBN,VBN,1,1,preserved
frames,frames,1,frame,frame,1,NNS,NNS,1,1,preserved
.,.,1,.,.,1,PP,PP,1,1,preserved
?,the,0,?,the,0,?,DET,0,0,mogrammar-det
In,In,1,In,In,1,IN,IN,1,1,preserved
order,order,1,order,order,1,NN,NN,1,1,preserved
to,to,1,to,to,1,TO,TO,1,1,preserved
label,label,1,label,label,1,NN,NN,1,1,preserved
frames,frames,1,frame,frame,1,NNS,NNS,1,1,preserved
',',',',1,',',',',1,PPR,PPR,1,1,preserved
we,we,1,we,we,1,PRP,PRP,1,1,preserved
proposed,proposed,1,propose,propose,1,JJ,JJ,1,1,preserved
a,a,1,a,a,1,DET,DET,1,1,preserved
new,new,1,new,new,1,JJ,JJ,1,1,preserved
feature,feature,1,feature,feature,1,NN,NN,1,1,preserved
type,type,1,type,type,1,NN,NN,1,1,preserved
to,to,1,to,to,1,TO,TO,1,1,preserved
model,model,1,model,model,1,NN,NN,1,1,preserved
the,the,1,the,the,1,DET,DET,1,1,preserved
difference,difference,1,difference,difference,1,NN,NN,1,1,preserved
and,and,1,and,and,1,CC,CC,1,1,preserved
motion,motion,1,motion,motion,1,NN,NN,1,1,preserved
in,in,1,in,in,1,IN,IN,1,1,preserved
color,color,1,color,color,1,NN,NN,1,1,preserved
and,and,1,and,and,1,CC,CC,1,0,preserved
edge,edges,0,edge,edge,1,NN,NNS,0,1,bigrammar-others
between,between,1,between,between,1,IN,IN,0,0,preserved
frames,frames,1,frame,frame,1,NNS,NNS,0,1,preserved
and,and,1,and,and,1,CC,CC,1,1,preserved
used,used,1,use,use,1,VBN,VBN,1,1,preserved
it,it,1,it,it,1,PRP,PRP,1,1,preserved
in,in,1,in,in,1,IN,IN,1,0,preserved
classification,classification,1,classification,classification,1,NN,NN,0,1,preserved
with,with,1,with,with,1,IN,IN,1,1,preserved
SVM,SVM,1,SVM,SVM,1,NNP,NNP,1,1,preserved
classifiers,classifiers,1,classifier,classifier,1,NNS,NNS,1,1,preserved
.,.,1,.,.,1,PP,PP,1,1,preserved
?,the,0,?,the,0,?,DET,0,0,mogrammar-det
?,the,0,?,the,0,?,DET,0,0,mogrammar-det
?,the,0,?,the,0,?,DET,0,0,mogrammar-det
Experiments,experiments,0,Experiments,experiment,0,NNS,NNS,0,0,preserved
on,on,1,on,on,1,IN,IN,0,1,preserved
various,various,1,various,various,1,JJ,JJ,1,1,preserved
videos,videos,1,video,video,1,NNS,NNS,1,0,preserved
of,from,0,of,from,0,IN,IN,1,1,bigrammar-prep
TRECVID,TRECVID,1,TRECVID,TRECVID,1,NNP,NNP,0,1,preserved
2003,2003,1,2003,2003,1,CD,CD,1,1,preserved
have,have,1,have,have,1,VB,VB,1,1,preserved
shown,shown,1,show,show,1,VBN,VBN,1,1,preserved
that,that,1,that,that,1,IN,IN,1,1,preserved
our,our,1,our,our,1,PRPS,PRPS,1,1,preserved
approach,approach,1,approach,approach,1,NN,NN,1,1,preserved
is,is,1,be,be,1,VBZ,VBZ,1,1,preserved
effective,effective,1,effective,effective,1,JJ,JJ,1,1,preserved
.,.,1,.,.,1,PP,PP,1,1,preserved
?,The,0,?,The,0,?,DET,0,0,mogrammar-det
Ent-Boost,Ent-Boost,1,Ent-Boost,Ent-Boost,1,JJ,JJ,0,1,preserved
:,:,1,:,:,1,PPS,PPS,1,1,preserved
Boosting,Boosting,1,Boosting,Boosting,1,VBG,VBG,1,1,preserved
Using,Using,1,Using,Using,1,VBG,VBG,1,1,preserved
Entropy,Entropy,1,Entropy,Entropy,1,NNP,NNP,1,0,preserved
Measure,Measures,0,Measure,Measures,0,NN,NNS,1,1,bigrammar-others
for,for,1,for,for,1,IN,IN,1,1,preserved
Robust,Robust,1,Robust,Robust,1,JJ,JJ,1,1,preserved
Object,Object,1,Object,Object,1,NN,NN,1,1,preserved
Detection,Detection,1,Detection,Detection,1,NNP,NNP,1,1,preserved
Recently,Recently,1,Recently,Recently,1,RB,RB,1,1,preserved
',',',',1,',',',',1,PPR,PPR,1,1,preserved
boosting,boosting,1,boost,boost,1,VBG,VBG,1,0,preserved
is,'has come',0,be,'have come',0,VBZ,'VBZ PPR',1,0,bigrammar-vtense
used,'to be used',0,use,'to be use',0,VBN,'TO VB PPR',0,1,paraphrase
widely,widely,1,widely,widely,1,RB,RB,1,1,preserved
in,in,1,in,in,1,IN,IN,1,1,preserved
object,object,1,object,object,1,NN,NN,1,1,preserved
detection,detection,1,detection,detection,1,NN,NN,1,1,preserved
applications,applications,1,application,application,1,NNS,NNS,1,1,preserved
because,because,1,because,because,1,IN,IN,1,1,preserved
of,of,1,of,of,1,IN,IN,1,1,preserved
its,its,1,it,it,1,PRPS,PRPS,1,1,preserved
impressive,impressive,1,impressive,impressive,1,JJ,JJ,1,1,preserved
performance,performance,1,performance,performance,1,NN,NN,1,1,preserved
in,in,1,in,in,1,IN,IN,1,1,preserved
both,both,1,both,both,1,DET,DET,1,1,preserved
speed,speed,1,speed,speed,1,NN,NN,1,1,preserved
and,and,1,and,and,1,CC,CC,1,1,preserved
accuracy,accuracy,1,accuracy,accuracy,1,NN,NN,1,1,preserved
.,.,1,.,.,1,PP,PP,1,1,preserved
However,However,1,However,However,1,RB,RB,1,1,preserved
',',',',1,',',',',1,PPR,PPR,1,1,preserved
learning,learning,1,learn,learn,1,VBG,VBG,1,1,preserved
weak,weak,1,weak,weak,1,JJ,JJ,1,1,preserved
classifiers,classifiers,1,classifier,classifier,1,NNS,NNS,1,0,preserved
which,which,1,which,which,1,WDT,WDT,0,1,preserved
is,is,1,be,be,1,VBZ,VBZ,1,1,preserved
one,one,1,one,one,1,CD,CD,1,1,preserved
of,of,1,of,of,1,IN,IN,1,1,preserved
the,the,1,the,the,1,DET,DET,1,1,preserved
most,most,1,most,most,1,JJS,JJS,1,1,preserved
significant,significant,1,significant,significant,1,JJ,JJ,1,1,preserved
tasks,tasks,1,task,task,1,NNS,NNS,1,1,preserved
in,in,1,in,in,1,IN,IN,1,1,preserved
using,using,1,use,use,1,VBG,VBG,1,1,preserved
boosting,boosting,1,boost,boost,1,VBG,VBG,1,0,preserved
is,is,1,be,be,1,VBZ,VBZ,0,1,preserved
left,left,1,leave,leave,1,VBN,VBN,1,0,preserved
for,to,0,for,to,0,IN,TO,1,1,bigrammar-prep
users,users,1,user,user,1,NNS,NNS,0,1,preserved
.,.,1,.,.,1,PP,PP,1,0,preserved
In,In,1,In,In,1,IN,IN,1,1,preserved
Discrete,Discrete,1,Discrete,Discrete,1,JJ,JJ,1,1,preserved
AdaBoost,AdaBoost,1,AdaBoost,AdaBoost,1,NNP,NNP,1,1,preserved
',',',',1,',',',',1,PPR,PPR,1,1,preserved
weak,weak,1,weak,weak,1,JJ,JJ,1,1,preserved
classifiers,classifiers,1,classifier,classifier,1,NNS,NNS,1,1,preserved
with,with,1,with,with,1,IN,IN,1,1,preserved
binary,binary,1,binary,binary,1,NN,NN,1,1,preserved
output,output,1,output,output,1,NN,NN,1,1,preserved
are,are,1,be,be,1,VBP,VBP,1,1,preserved
too,too,1,too,too,1,RB,RB,1,1,preserved
weak,weak,1,weak,weak,1,JJ,JJ,1,1,preserved
to,to,1,to,to,1,TO,TO,1,1,preserved
boost,boost,1,boost,boost,1,NN,NN,1,1,preserved
when,when,1,when,when,1,WRB,WRB,1,1,preserved
the,the,1,the,the,1,DET,DET,1,1,preserved
training,training,1,train,train,1,NN,NN,1,1,preserved
data,data,1,datum,datum,1,NNS,NNS,1,1,preserved
is,is,1,be,be,1,VBZ,VBZ,1,1,preserved
complex,complex,1,complex,complex,1,JJ,JJ,1,1,preserved
.,.,1,.,.,1,PP,PP,1,1,preserved
Meanwhile,Meanwhile,1,Meanwhile,Meanwhile,1,RB,RB,1,1,preserved
',',',',1,',',',',1,PPR,PPR,1,1,preserved
determining,determining,1,determine,determine,1,VBG,VBG,1,1,preserved
the,the,1,the,the,1,DET,DET,1,1,preserved
appropriate,appropriate,1,appropriate,appropriate,1,JJ,JJ,1,1,preserved
number,number,1,number,number,1,NN,NN,1,1,preserved
of,of,1,of,of,1,IN,IN,1,1,preserved
bins,bins,1,bin,bin,1,NNS,NNS,1,1,preserved
for,for,1,for,for,1,IN,IN,1,1,preserved
weak,weak,1,weak,weak,1,JJ,JJ,1,1,preserved
classifiers,classifiers,1,classifier,classifier,1,NNS,NNS,1,1,preserved
learned,learned,1,learn,learn,1,VBN,VBN,1,1,preserved
by,by,1,by,by,1,IN,IN,1,1,preserved
Real,Real,1,Real,Real,1,NNP,NNP,1,1,preserved
AdaBoost,AdaBoost,1,AdaBoost,AdaBoost,1,NNP,NNP,1,1,preserved
is,is,1,be,be,1,VBZ,VBZ,1,1,preserved
a,a,1,a,a,1,DET,DET,1,1,preserved
challenging,challenging,1,challenge,challenge,1,JJ,JJ,1,1,preserved
task,task,1,task,task,1,NN,NN,1,1,preserved
because,because,1,because,because,1,IN,IN,1,1,preserved
small,small,1,small,small,1,JJ,JJ,1,0,preserved
one,ones,0,one,one,1,CD,NNS,1,1,bigrammar-others
might,might,1,may,may,1,MD,MD,0,1,preserved
not,not,1,not,not,1,RB,RB,1,0,preserved
well,accurately,0,well,accurately,0,RB,RB,1,1,spelling
approximate,approximate,1,approximate,approximate,1,JJ,JJ,0,1,preserved
the,the,1,the,the,1,DET,DET,1,1,preserved
real,real,1,real,real,1,JJ,JJ,1,1,preserved
distribution,distribution,1,distribution,distribution,1,NN,NN,1,1,preserved
while,while,1,while,while,1,IN,IN,1,1,preserved
large,large,1,large,large,1,JJ,JJ,1,0,preserved
one,ones,0,one,one,1,CD,NNS,1,1,bigrammar-others
might,might,1,may,may,1,MD,MD,0,1,preserved
cause,cause,1,cause,cause,1,NN,NN,1,1,preserved
over-fitting,over-fitting,1,over-fitting,over-fitting,1,JJ,JJ,1,1,preserved
',',',',1,',',',',1,PPR,PPR,1,1,preserved
increase,increase,1,increase,increase,1,NN,NN,1,1,preserved
computation,computation,1,computation,computation,1,NN,NN,1,1,preserved
time,time,1,time,time,1,NN,NN,1,0,preserved
and,and,1,and,and,1,CC,CC,0,1,preserved
waste,waste,1,waste,waste,1,NN,NN,1,1,preserved
storage,storage,1,storage,storage,1,NN,NN,1,1,preserved
space,space,1,space,space,1,NN,NN,1,1,preserved
.,.,1,.,.,1,PP,PP,1,1,preserved
'called This paper describes','We have developed',0,'call This paper describe','We have develop',0,'VBN DET NN PPR','PRP VB PPR',0,1,paraphrase
a,a,1,a,a,1,DET,DET,0,1,preserved
novel,novel,1,novel,novel,1,NN,NN,1,1,preserved
method,method,1,method,method,1,NN,NN,1,1,preserved
for,for,1,for,for,1,IN,IN,1,1,preserved
efficiently,efficiently,1,efficiently,efficiently,1,RB,RB,1,1,preserved
learning,learning,1,learn,learn,1,VBG,VBG,1,1,preserved
weak,weak,1,weak,weak,1,JJ,JJ,1,1,preserved
classifiers,classifiers,1,classifier,classifier,1,NNS,NNS,1,1,preserved
using,using,1,use,use,1,VBG,VBG,1,1,preserved
entropy,entropy,1,entropy,entropy,1,NN,NN,1,1,preserved
measures,measures,1,measure,measure,1,NNS,NNS,1,0,preserved
Ent-Boost,Ent-Boost,1,Ent-Boost,Ent-Boost,1,JJ,JJ,0,0,preserved
.,.,1,.,.,1,PP,PP,0,0,preserved
The,?,0,The,?,0,DET,?,0,0,mogrammar-det
class,Class,0,class,Class,0,NN,NNP,0,1,preserved
entropy,entropy,1,entropy,entropy,1,NN,NN,0,1,preserved
information,information,1,information,information,1,NN,NN,1,1,preserved
is,is,1,be,be,1,VBZ,VBZ,1,1,preserved
used,used,1,use,use,1,VBN,VBN,1,1,preserved
to,to,1,to,to,1,TO,TO,1,0,preserved
estimate,estimate,1,estimate,estimate,1,NN,NN,0,1,preserved
the,the,1,the,the,1,DET,DET,1,1,preserved
optimal,optimal,1,optimal,optimal,1,NN,NN,1,1,preserved
number,number,1,number,number,1,NN,NN,1,1,preserved
of,of,1,of,of,1,IN,IN,1,1,preserved
bins,bins,1,bin,bin,1,NNS,NNS,1,0,preserved
automatically,automatically,1,automatically,automatically,1,RB,RB,0,0,preserved
through,through,1,through,through,1,IN,IN,0,1,preserved
discretization,discretization,1,discretization,discretization,1,NN,NN,1,0,preserved
.,.,1,.,.,1,PP,PP,0,1,preserved
Then,Then,1,Then,Then,1,RB,RB,1,1,preserved
Kullback-Leibler,Kullback-Leibler,1,Kullback-Leibler,Kullback-Leibler,1,JJ,JJ,1,1,preserved
divergence,divergence,1,divergence,divergence,1,NN,NN,1,0,preserved
which,which,1,which,which,1,WDT,WDT,0,1,preserved
is,is,1,be,be,1,VBZ,VBZ,1,1,preserved
the,the,1,the,the,1,DET,DET,1,1,preserved
relative,relative,1,relative,relative,1,JJ,JJ,1,1,preserved
entropy,entropy,1,entropy,entropy,1,NN,NN,1,1,preserved
between,between,1,between,between,1,IN,IN,1,1,preserved
probability,probability,1,probability,probability,1,NN,NN,1,1,preserved
distributions,distributions,1,distribution,distribution,1,NNS,NNS,1,1,preserved
of,of,1,of,of,1,IN,IN,1,1,preserved
positive,positive,1,positive,positive,1,JJ,JJ,1,1,preserved
and,and,1,and,and,1,CC,CC,1,1,preserved
negative,negative,1,negative,negative,1,JJ,JJ,1,1,preserved
samples,samples,1,sample,sample,1,NNS,NNS,1,0,preserved
is,is,1,be,be,1,VBZ,VBZ,0,0,preserved
employed,used,0,employ,use,0,VBN,VBN,1,1,paraphrase
to,to,1,to,to,1,TO,TO,0,1,preserved
select,select,1,select,select,1,JJ,JJ,1,1,preserved
the,the,1,the,the,1,DET,DET,1,1,preserved
best,best,1,good,good,1,RB,RB,1,1,preserved
weak,weak,1,weak,weak,1,JJ,JJ,1,1,preserved
classifier,classifier,1,classifier,classifier,1,NN,NN,1,1,preserved
in,in,1,in,in,1,IN,IN,1,1,preserved
the,the,1,the,the,1,DET,DET,1,1,preserved
weak,weak,1,weak,weak,1,JJ,JJ,1,1,preserved
classifier,classifier,1,classifier,classifier,1,NN,NN,1,1,preserved
set,set,1,set,set,1,NN,NN,1,1,preserved
.,.,1,.,.,1,PP,PP,1,1,preserved
Experiments,Experiments,1,Experiments,Experiments,1,NNS,NNS,0,0,preserved
'have shown',showed,0,'have show',show,0,'VB PPR',VBD,1,1,bigrammar-vtense
that,that,1,that,that,1,IN,IN,0,1,preserved
strong,strong,1,strong,strong,1,JJ,JJ,1,1,preserved
classifiers,classifiers,1,classifier,classifier,1,NNS,NNS,1,1,preserved
learned,learned,1,learn,learn,1,VBN,VBN,1,1,preserved
by,by,1,by,by,1,IN,IN,1,1,preserved
Ent-Boost,Ent-Boost,1,Ent-Boost,Ent-Boost,1,JJ,JJ,1,1,preserved
can,can,1,can,can,1,MD,MD,1,1,preserved
achieve,achieve,1,achieve,achieve,1,VB,VB,1,1,preserved
good,good,1,good,good,1,JJ,JJ,1,1,preserved
performance,performance,1,performance,performance,1,NN,NN,1,0,preserved
and,and,1,and,and,1,CC,CC,0,0,preserved
'have compact storage space','be stored compactly',0,'have compact storage space','be store compactly',0,'VB JJ NN POS','VB VBN PPR',1,1,paraphrase
.,.,1,.,.,1,PP,PP,0,0,preserved
Results,results,0,Results,result,0,NNS,NNS,0,0,preserved
on,of,0,on,of,0,IN,IN,0,1,bigrammar-prep
building,building,1,build,build,1,NN,NN,0,1,preserved
a,a,1,a,a,1,DET,DET,1,1,preserved
robust,robust,1,robust,robust,1,JJ,JJ,1,1,preserved
face,face,1,face,face,1,NN,NN,1,1,preserved
detector,detector,1,detector,detector,1,NN,NN,1,0,preserved
'are also reported','using Ent-Boost showed the boosting scheme to be effective',0,'be also report','use Ent-Boost show the boost scheme to be effective',0,'VBP RB PPR','VBG JJ VBD DET VBG NN TO VB PPR',1,1,paraphrase
?,The,0,?,The,0,?,DET,0,0,mogrammar-det
Building,Building,1,Building,Building,1,NNP,NNP,1,1,preserved
a,a,1,a,a,1,DET,DET,1,1,preserved
robust,robust,1,robust,robust,1,JJ,JJ,1,1,preserved
and,and,1,and,and,1,CC,CC,1,1,preserved
reliable,reliable,1,reliable,reliable,1,JJ,JJ,1,1,preserved
classifier,classifier,1,classifier,classifier,1,NN,NN,1,1,preserved
is,is,1,be,be,1,VBZ,VBZ,1,1,preserved
always,always,1,always,always,1,RB,RB,1,1,preserved
a,a,1,a,a,1,DET,DET,1,1,preserved
fundamental,fundamental,1,fundamental,fundamental,1,JJ,JJ,1,1,preserved
problem,problem,1,problem,problem,1,NN,NN,1,1,preserved
of,of,1,of,of,1,IN,IN,1,1,preserved
pattern,pattern,1,pattern,pattern,1,NN,NN,1,1,preserved
recognition,recognition,1,recognition,recognition,1,NN,NN,1,1,preserved
.,.,1,.,.,1,PP,PP,1,1,preserved
Several,Several,1,Several,Several,1,JJ,JJ,1,1,preserved
kinds,kinds,1,kind,kind,1,NNS,NNS,1,1,preserved
of,of,1,of,of,1,IN,IN,1,1,preserved
classifiers,classifiers,1,classifier,classifier,1,NNS,NNS,1,1,preserved
',',',',1,',',',',1,PPR,PPR,1,1,preserved
such,such,1,such,such,1,JJ,JJ,1,1,preserved
as,as,1,as,as,1,IN,IN,1,0,preserved
Neural,neural,0,Neural,neural,0,NNP,NN,1,0,preserved
Network,networks,0,Network,network,0,NNP,NNS,0,1,bigrammar-others
[1],[1],1,[1],[1],1,RRB,RRB,0,1,preserved
and,and,1,and,and,1,CC,CC,1,0,preserved
Support,support,0,Support,support,0,NN,NN,1,0,preserved
Vector,vector,0,Vector,vector,0,NNP,NN,0,0,preserved
Machines,machines,0,Machines,machine,0,NNP,NNS,0,1,preserved
[2],[2],1,[2],[2],1,RRB,RRB,0,1,preserved
',',',',1,',',',',1,PPR,PPR,1,1,preserved
have,have,1,have,have,1,VB,VB,1,1,preserved
been,been,1,be,be,1,VBN,VBN,1,1,preserved
proposed,proposed,1,propose,propose,1,JJ,JJ,1,1,preserved
and,and,1,and,and,1,CC,CC,1,1,preserved
applied,applied,1,apply,apply,1,VBN,VBN,1,1,preserved
successfully,successfully,1,successfully,successfully,1,RB,RB,1,1,preserved
in,in,1,in,in,1,IN,IN,1,1,preserved
many,many,1,many,many,1,JJ,JJ,1,1,preserved
object-detection,object-detection,1,object-detection,object-detection,1,JJ,JJ,1,1,preserved
systems,systems,1,system,system,1,NNS,NNS,1,1,preserved
.,.,1,.,.,1,PP,PP,1,1,preserved
Boosting,Boosting,1,Boosting,Boosting,1,VBG,VBG,1,1,preserved
[3],[3],1,[3],[3],1,RRB,RRB,1,1,preserved
and,and,1,and,and,1,CC,CC,1,1,preserved
its,its,1,it,it,1,PRPS,PRPS,1,1,preserved
variants,variants,1,variant,variant,1,NNS,NNS,1,1,preserved
[4],[4],1,[4],[4],1,RRB,RRB,1,0,preserved
',[5] ,[6] ,[7] ,[8] ,[9] ,[10]','? [10]',0,',[5] ,[6] ,[7] ,[8] ,[9] ,[10]','? [10]',0,'RRB RRB RRB RRB RRB PPS','PP PPS',1,1,preserved
'a lot of attentions','attention much',0,'a lot of attention','attention much',0,'DET NN IN POS','NN PPR',1,1,bigrammar-inter
its,their,0,it,their,0,PRPS,PRPS,1,1,bigrammar-det
have,have,1,have,have,1,VB,VB,0,1,preserved
recently,recently,1,recently,recently,1,RB,RB,1,1,preserved
gained,gained,1,gain,gain,1,VBN,VBN,1,0,preserved
from,from,1,from,from,1,IN,IN,0,1,preserved
researchers,researchers,1,researcher,researcher,1,NNS,NNS,1,1,preserved
because,because,1,because,because,1,IN,IN,1,1,preserved
of,of,1,of,of,1,IN,IN,1,0,preserved
excellent,excellent,1,excellent,excellent,1,JJ,JJ,0,1,preserved
performance,performance,1,performance,performance,1,NN,NN,1,1,preserved
In,In,1,In,In,1,IN,IN,1,0,preserved
regards,regard,0,regard,regard,1,VBZ,NN,1,1,bigrammar-wform
to,to,1,to,to,1,TO,TO,0,1,preserved
face,face,1,face,face,1,NN,NN,1,1,preserved
detection,detection,1,detection,detection,1,NN,NN,1,1,preserved
',',',',1,',',',',1,PPR,PPR,1,1,preserved
for,for,1,for,for,1,IN,IN,1,1,preserved
example,example,1,example,example,1,NN,NN,1,1,preserved
',',',',1,',',',',1,PPR,PPR,1,1,preserved
the,the,1,the,the,1,DET,DET,1,1,preserved
methods,methods,1,method,method,1,NNS,NNS,1,1,preserved
described,described,1,describe,describe,1,VBN,VBN,1,1,preserved
in,in,1,in,in,1,IN,IN,1,0,preserved
'works state of the art',state-of-the-art,0,'work state of the art',state-of-the-art,0,'NNS NN IN DET POS',JJ,0,1,spelling
[4],[4],1,[4],[4],1,RRB,RRB,0,0,preserved
',[5] ,[10]',', [5] , [10]',0,',[5] ,[10]',', [5] , [10]',0,'RRB PPS','PPC RRB PPC PPS',1,0,preserved
represent,are,0,represent,be,0,VB,VBP,0,0,paraphrase
the,?,0,the,?,0,DET,?,0,0,mogrammar-det
in,in,1,in,in,1,IN,IN,0,1,preserved
terms,terms,1,term,term,1,NNS,NNS,1,1,preserved
of,of,1,of,of,1,IN,IN,1,1,bigrammar-prep
both,both,1,both,both,1,DET,DET,1,0,preserved
